核心客户号|签约日期|当前签约日期|零售签约产品代码|零售签约产品描述|签约口径说明
1522376782|2015/6/17|2015/6/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506098756|2015/2/2|2015/2/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520472515|2015/4/11|2015/4/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1213619050|2012/5/25|2016/2/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506114721|2014/1/17|2014/1/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511353210|2014/9/10|2014/9/10|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1220981900|2013/12/27|2013/12/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1513805332|2015/3/5|2015/3/9|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504148005|2015/9/24|2015/9/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1500072784|2013/2/25|2013/2/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1522468020|2015/6/25|2015/6/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1154212956|2015/7/8|2015/7/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526730832|2015/12/17|2015/12/17|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1506648424|2015/12/24|2015/12/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1263062922|2013/7/2|2014/2/12|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1512328544|2015/11/6|2015/11/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1212622846|2013/6/5|2013/6/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1501697800|2013/6/28|2013/6/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1528066869|2016/2/22|2016/2/22|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1162802439|2012/7/19|2012/9/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525890703|2015/11/11|2015/11/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1220987824|2012/6/26|2012/6/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1511551780|2014/8/15|2014/8/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1214024771|2012/1/20|2014/3/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525900918|2015/11/11|2015/11/11|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1505966184|2016/1/4|2016/1/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514383383|2014/10/23|2014/10/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1256997735|2015/11/11|2015/11/11|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1526431563|2015/12/3|2015/12/3|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1527150869|2016/1/18|2016/1/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1514640442|2015/8/24|2015/8/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1515484567|2015/9/1|2015/9/1|60115|财神卡|借记卡折一本通（卡bin622619）且CO_SIGN_NUM in ('0057','0058')
1283737882|2012/2/8|2012/2/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1013939863|2014/6/15|2014/6/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510968859|2014/6/30|2014/6/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1510169704|2014/6/28|2014/10/16|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525645706|2015/11/2|2015/11/2|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507767109|2014/4/8|2014/4/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1244323503|2014/1/29|2014/1/29|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1216109520|2012/2/22|2012/12/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1508588292|2015/12/23|2015/12/23|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1505902492|2014/5/24|2015/12/6|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507386690|2014/3/18|2014/3/18|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520890923|2015/7/8|2015/7/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1518120464|2015/1/15|2015/1/15|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1253042060|2012/12/27|2012/12/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1285114133|2014/9/28|2014/9/28|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1205105303|2012/8/2|2013/12/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1503788491|2013/10/11|2015/7/3|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1525003232|2015/10/4|2015/10/4|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520938823|2015/4/30|2015/4/30|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1507695585|2014/11/25|2014/11/25|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1520046619|2015/3/26|2015/3/26|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1524801954|2015/9/24|2015/9/24|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1504944075|2013/11/27|2013/11/27|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519133410|2016/1/8|2016/1/8|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
1519447209|2015/3/5|2015/3/5|101210|TSS理财|客户的tss理财余额>0 则认为客户是tss理财客户
